,action,position_type,entry_price,entry_time,stop_loss,take_profit,exit_price,pnl,exit_time
178,stop_loss,long,149.879,2023-10-24 23:30:00,149.88635714285715,149.9170357142857,149.88,-1.0,2023-10-24 23:35:00
179,sell,short,149.846,2023-10-25 02:30:00,149.8627142857143,149.81814285714285,,,
180,stop_loss,short,149.846,2023-10-25 03:00:00,149.8327142857143,149.81814285714285,149.84,-1.0,2023-10-25 03:05:00
181,sell,short,149.897,2023-10-25 17:35:00,149.9354642857143,149.83289285714284,,,
182,stop_loss,short,149.897,2023-10-25 17:50:00,149.9354642857143,149.83289285714284,149.953,-1.0,2023-10-25 17:55:00
183,buy,long,149.953,2023-10-25 18:00:00,149.9125,150.0205,,,
184,stop_loss,long,149.953,2023-10-25 18:00:00,149.9125,150.0205,149.908,-1.0,2023-10-25 18:05:00
185,sell,short,150.098,2023-10-26 02:45:00,150.13625000000002,150.03425000000001,,,
186,stop_loss,short,150.098,2023-10-26 03:05:00,150.08985714285714,150.03425000000001,150.093,-1.0,2023-10-26 03:10:00
187,buy,long,150.252,2023-10-26 04:40:00,150.17828571428572,150.37485714285717,,,
188,take_profit,long,150.252,2023-10-26 05:05:00,150.2617857142857,150.37485714285717,150.378,1.5,2023-10-26 05:10:00
189,sell,short,150.422,2023-10-26 10:05:00,150.61860714285714,150.09432142857142,,,
190,stop_loss,short,150.422,2023-10-26 12:35:00,150.30935714285712,150.09432142857142,150.314,-1.0,2023-10-26 12:40:00
191,buy,long,150.339,2023-10-26 17:05:00,150.24160714285713,150.50132142857143,,,
192,stop_loss,long,150.339,2023-10-26 17:40:00,150.3422857142857,150.50132142857143,150.336,-1.0,2023-10-26 17:45:00
193,stop_loss,short,150.123,2023-10-27 10:00:00,150.19382142857143,150.0049642857143,150.202,-1.0,2023-10-27 10:05:00
194,sell,short,150.015,2023-10-27 15:00:00,150.06214285714285,149.93642857142854,,,
195,stop_loss,short,150.015,2023-10-27 15:00:00,149.98542857142857,149.93642857142854,149.987,-1.0,2023-10-27 15:05:00
196,buy,long,149.715,2023-10-30 02:45:00,149.66035714285715,149.8060714285714,,,
197,stop_loss,long,149.715,2023-10-30 02:55:00,149.7507857142857,149.8060714285714,149.716,-1.0,2023-10-30 03:00:00
198,sell,short,149.539,2023-10-30 08:40:00,149.57607142857142,149.47721428571427,,,
199,take_profit,short,149.539,2023-10-30 08:40:00,149.51671428571427,149.47721428571427,149.436,1.5,2023-10-30 08:45:00
200,buy,long,150.707,2023-10-31 13:45:00,150.66114285714283,150.78342857142857,,,
201,stop_loss,long,150.707,2023-10-31 14:00:00,150.66114285714283,150.78342857142857,150.643,-1.0,2023-10-31 14:05:00
202,buy,long,151.089,2023-10-31 16:30:00,150.95967857142858,151.30453571428572,,,
203,take_profit,long,151.089,2023-10-31 17:10:00,151.20371428571428,151.30453571428572,151.305,1.5,2023-10-31 17:15:00
204,sell,short,151.233,2023-11-01 09:10:00,151.28625,151.14425,,,
205,stop_loss,short,151.233,2023-11-01 09:30:00,151.28625,151.14425,151.297,-1.0,2023-11-01 09:35:00
206,sell,short,151.164,2023-11-01 16:00:00,151.2767142857143,150.97614285714283,,,
207,take_profit,short,151.164,2023-11-01 16:10:00,151.16299999999998,150.97614285714283,150.963,1.5,2023-11-01 16:15:00
208,buy,long,151.064,2023-11-01 20:05:00,150.97432142857141,151.21346428571428,,,
209,stop_loss,long,151.064,2023-11-01 20:20:00,151.08464285714285,151.21346428571428,150.951,-1.0,2023-11-01 20:25:00
210,sell,short,150.903,2023-11-01 21:05:00,151.08792857142856,150.5947857142857,,,
211,stop_loss,short,150.903,2023-11-01 21:35:00,150.80621428571428,150.5947857142857,150.815,-1.0,2023-11-01 21:40:00
212,sell,short,150.855,2023-11-02 00:20:00,150.88767857142855,150.8005357142857,,,
213,take_profit,short,150.855,2023-11-02 00:25:00,150.83457142857142,150.8005357142857,150.777,1.5,2023-11-02 00:30:00
214,buy,long,150.474,2023-11-03 01:20:00,150.44839285714284,150.51667857142854,,,
